wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
307,12.908,15.244,20.119,16.412,17.059,39.592,43.889,34.413,44.768,7.519
307.5,12.854,15.202,20.144,16.414,17.049,39.467,43.766,34.33,44.757,7.535
308,12.773,15.152,20.184,16.442,17.08,39.493,43.761,34.278,44.778,7.55
308.5,12.69,15.136,20.251,16.476,17.079,39.411,43.694,34.219,44.75,7.559
309,12.681,15.197,20.276,16.474,17.064,39.288,43.584,34.133,44.717,7.576
309.5,12.689,15.253,20.158,16.401,17.025,39.061,43.35,33.921,44.654,7.494
310,12.688,15.28,20.15,16.363,16.986,38.826,43.113,33.746,44.595,7.45
310.5,12.705,15.336,20.158,16.308,16.934,38.594,42.88,33.631,44.567,7.431
311,12.752,15.378,20.171,16.249,16.912,38.477,42.671,33.557,44.517,7.393
311.5,12.768,15.351,20.179,16.287,16.966,38.366,42.515,33.53,44.53,7.407
312,12.785,15.388,20.223,16.334,17.029,38.365,42.418,33.565,44.596,7.493
312.5,12.759,15.392,20.304,16.393,17.122,38.428,42.421,33.58,44.615,7.566
313,12.807,15.452,20.374,16.429,17.136,38.451,42.457,33.486,44.589,7.601
313.5,12.902,15.558,20.417,16.419,17.117,38.414,42.423,33.421,44.492,7.599
314,12.935,15.671,20.429,16.435,17.15,38.395,42.471,33.362,44.422,7.638
314.5,12.966,15.711,20.348,16.44,17.169,38.281,42.469,33.3,44.39,7.648
315,13.005,15.657,20.423,16.475,17.158,38.172,42.401,33.26,44.4,7.684
315.5,13.045,15.655,20.465,16.478,17.138,38.075,42.264,33.203,44.408,7.733
316,13.049,15.575,20.5,16.511,17.155,38.081,42.14,33.237,44.481,7.784
316.5,13.01,15.582,20.512,16.596,17.227,38.002,42.01,33.264,44.577,7.864
317,13.075,15.703,20.497,16.666,17.25,37.915,41.842,33.218,44.568,7.856
317.5,13.129,15.811,20.49,16.7,17.262,37.754,41.61,33.095,44.506,7.743
318,13.244,15.908,20.46,16.632,17.203,37.516,41.342,32.866,44.457,7.594
